"","YEAR","PLOT","PHXE","PHXEO","PHSI","PHSIO","PHDE","PHDEO","PODE","PODEO","POMA","POMAO","POIM","POIMO","PORU","PORUO","SOLA","SOLB","COIN","COINO","COBI","COBIO","IRPR","IRPRO","MYMI","MYMIO","MYDE","MYDEO","MYME","MYMEO","NOCO","NOCOO","CREM","CREMO","POBA","POBAO","MYNA","MYNAO"
"1",1983,1,17,17,15,15,-99,-99,28,30,-99,-99,-99,-99,-99,-99,-99,12,2,2,-99,-99,2,2,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
"2",1983,2,34,49,20,25,-99,-99,19,19,-99,-99,-99,-99,-99,-99,-99,4,4,4,-99,-99,1,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
"3",1983,3,23,29,12,16,-99,-99,5,5,-99,-99,-99,-99,-99,-99,-99,1,0,0,-99,-99,1,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
"4",1983,4,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
"5",1983,5,6,7,1,1,-99,-99,4,4,-99,-99,-99,-99,-99,-99,-99,3,1,1,-99,-99,1,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
"6",1983,6,9,11,1,2,-99,-99,5,5,-99,-99,-99,-99,-99,-99,-99,5,1,1,-99,-99,1,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
"7",1983,7,17,18,4,5,-99,-99,6,6,-99,-99,-99,-99,-99,-99,-99,2,0,0,-99,-99,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
"8",1983,8,22,28,2,2,-99,-99,10,10,-99,-99,-99,-99,-99,-99,-99,2,0,0,-99,-99,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
"9",1983,9,42,52,0,0,-99,-99,11,12,-99,-99,-99,-99,-99,-99,-99,22,1,1,-99,-99,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
"10",1983,10,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
"11",1983,11,36,54,2,4,-99,-99,7,12,-99,-99,-99,-99,-99,-99,-99,4,1,1,-99,-99,1,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
"12",1983,12,43,65,2,2,-99,-99,1,1,-99,-99,-99,-99,-99,-99,-99,3,3,3,-99,-99,1,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
"13",1983,13,16,22,3,5,-99,-99,17,19,-99,-99,-99,-99,-99,-99,-99,8,0,0,-99,-99,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
"14",1983,14,28,39,3,3,-99,-99,8,11,-99,-99,-99,-99,-99,-99,-99,3,0,0,-99,-99,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
"15",1983,15,15,18,0,0,-99,-99,3,3,-99,-99,-99,-99,-99,-99,-99,7,1,1,-99,-99,2,3,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
"16",1983,16,26,32,3,3,-99,-99,8,10,-99,-99,-99,-99,-99,-99,-99,7,0,0,-99,-99,2,2,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
"17",1983,17,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
"18",1983,18,55,72,9,9,-99,-99,0,0,-99,-99,-99,-99,-99,-99,-99,3,1,1,-99,-99,2,2,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
"19",1983,19,22,23,9,9,-99,-99,1,1,-99,-99,-99,-99,-99,-99,-99,5,1,1,-99,-99,5,5,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
"20",1983,20,20,26,5,5,-99,-99,1,1,-99,-99,-99,-99,-99,-99,-99,3,1,1,-99,-99,9,9,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
"21",1983,21,30,32,4,4,-99,-99,0,0,-99,-99,-99,-99,-99,-99,-99,5,0,0,-99,-99,2,2,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
"22",1983,22,18,24,2,2,-99,-99,0,0,-99,-99,-99,-99,-99,-99,-99,18,1,1,-99,-99,1,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
"23",1983,23,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
"24",1983,24,6,7,2,2,-99,-99,7,7,-99,-99,-99,-99,-99,-99,-99,15,2,2,-99,-99,4,5,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
"25",1984,1,13,15,0,0,-99,-99,16,18,-99,-99,-99,-99,-99,-99,-99,19,3,3,-99,-99,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
"26",1984,2,15,16,2,2,-99,-99,13,16,-99,-99,-99,-99,-99,-99,-99,12,2,2,-99,-99,2,2,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
"27",1984,3,13,14,7,7,-99,-99,12,12,-99,-99,-99,-99,-99,-99,-99,6,1,1,-99,-99,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
"28",1984,4,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
"29",1984,5,8,10,1,1,-99,-99,6,6,-99,-99,-99,-99,-99,-99,-99,15,1,1,-99,-99,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
"30",1984,6,6,6,0,0,-99,-99,14,14,-99,-99,-99,-99,-99,-99,-99,33,2,2,-99,-99,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
