"","Plot","Year","total_species","total_abundance","avg_abundance"
"1",1,1989,3616,7170,1.98285398230089
"2",1,1990,3616,6185,1.71045353982301
"3",1,1991,3616,2160,0.597345132743363
"4",1,1992,3616,2458,0.679756637168142
"5",1,1993,3616,10265,2.83877212389381
"6",1,1994,3616,868,0.240044247787611
"7",1,1995,3616,1974,0.545907079646018
"8",1,1996,3616,409,0.113108407079646
"9",1,1997,3616,2909,0.804480088495575
"10",1,1998,3616,1244,0.344026548672566
"11",1,1999,3616,359,0.0992809734513274
"12",1,2000,3616,178,0.0492256637168142
"13",1,2001,3616,667,0.18445796460177
"14",1,2002,3616,1205,0.333241150442478
"15",10,1989,3616,16626,4.5978982300885
"16",10,1990,3616,6940,1.91924778761062
"17",10,1991,3616,618,0.170907079646018
"18",10,1992,3616,5443,1.50525442477876
"19",10,1993,3616,6099,1.6866703539823
"20",10,1994,3616,625,0.172842920353982
"21",10,1995,3616,2323,0.642422566371681
"22",10,1996,3616,280,0.0774336283185841
"23",10,1997,3616,1921,0.53125
"24",10,1998,3616,1883,0.520741150442478
"25",10,1999,3616,267,0.0738384955752212
"26",10,2000,3616,137,0.0378871681415929
"27",10,2001,3616,1218,0.336836283185841
"28",10,2002,3616,1391,0.384679203539823
"29",11,1989,3616,12291,3.39905973451327
"30",11,1990,3616,8821,2.43943584070796
"31",11,1991,3616,644,0.178097345132743
"32",11,1992,3616,3591,0.993086283185841
"33",11,1993,3616,3417,0.944966814159292
"34",11,1994,3616,584,0.161504424778761
"35",11,1995,3616,1034,0.285951327433628
"36",11,1996,3616,51,0.014103982300885
"37",11,1997,3616,1431,0.395741150442478
"38",11,1998,3616,462,0.127765486725664
"39",11,1999,3616,79,0.0218473451327434
"40",11,2000,3616,61,0.0168694690265487
"41",11,2001,3616,679,0.187776548672566
"42",11,2002,3616,571,0.157909292035398
"43",12,1989,3616,19151,5.29618362831858
"44",12,1990,3616,8319,2.30060840707965
"45",12,1991,3616,362,0.100110619469027
"46",12,1992,3616,4770,1.31913716814159
"47",12,1993,3616,2670,0.738384955752212
"48",12,1994,3616,701,0.193860619469027
"49",12,1995,3616,1115,0.308351769911504
"50",12,1996,3616,180,0.0497787610619469
