"PLOT","YEAR","LARGE_RODENTS","ALL_RODENTS","PORU_ANTS","ALL_ANTS"
1,1977,1,1,1,1
1,1978,1,1,1,1
1,1979,1,1,1,1
1,1980,1,1,1,1
1,1981,1,1,1,1
1,1982,1,1,1,1
1,1983,1,1,1,1
1,1984,1,1,1,1
1,1985,1,1,1,1
1,1986,1,1,1,1
1,1987,1,1,1,1
1,1988,0,1,1,1
1,1989,0,1,1,1
1,1990,0,1,1,1
1,1991,0,1,1,1
1,1992,0,1,1,1
1,1993,0,1,1,1
1,1994,0,1,1,1
1,1995,0,1,1,1
1,1996,0,1,1,1
1,1997,0,1,1,1
1,1998,0,1,1,1
1,1999,0,1,1,1
1,2000,0,1,1,1
1,2001,0,1,1,1
1,2002,0,1,1,1
2,1977,1,1,1,1
2,1978,1,1,1,1
2,1979,1,1,1,1
2,1980,1,1,1,1
2,1981,1,1,1,1
2,1982,1,1,1,1
2,1983,1,1,1,1
2,1984,1,1,1,1
2,1985,1,1,1,1
2,1986,1,1,1,1
2,1987,1,1,1,1
2,1988,1,1,1,1
2,1989,1,1,1,1
2,1990,1,1,1,1
2,1991,1,1,1,1
2,1992,1,1,1,1
2,1993,1,1,1,1
2,1994,1,1,1,1
2,1995,1,1,1,1
2,1996,1,1,1,1
2,1997,1,1,1,1
2,1998,1,1,1,1
2,1999,1,1,1,1
2,2000,1,1,1,1
2,2001,1,1,1,1
2,2002,1,1,1,1
3,1977,0,1,0,1
3,1978,0,1,0,1
3,1979,0,1,0,1
3,1980,0,1,0,1
3,1981,0,1,0,1
3,1982,0,1,0,1
3,1983,0,1,0,1
3,1984,0,1,0,1
3,1985,0,1,0,1
3,1986,0,1,0,1
3,1987,0,1,0,1
3,1988,0,1,0,0
3,1989,0,1,0,0
3,1990,0,1,0,0
3,1991,0,1,0,0
3,1992,0,1,0,0
3,1993,0,1,0,0
3,1994,0,1,0,0
3,1995,0,1,0,0
3,1996,0,1,0,0
3,1997,0,1,0,0
3,1998,0,1,0,0
3,1999,0,1,0,0
3,2000,0,1,0,0
3,2001,0,1,0,0
3,2002,0,1,0,0
4,1977,1,1,0,0
4,1978,1,1,0,0
4,1979,1,1,0,0
4,1980,1,1,0,0
4,1981,1,1,0,0
4,1982,1,1,0,0
4,1983,1,1,0,0
4,1984,1,1,0,0
4,1985,1,1,0,0
4,1986,1,1,0,0
4,1987,1,1,0,0
4,1988,1,1,0,0
4,1989,1,1,0,0
4,1990,1,1,0,0
4,1991,1,1,0,0
4,1992,1,1,0,0
4,1993,1,1,0,0
4,1994,1,1,0,0
4,1995,1,1,0,0
4,1996,1,1,0,0
4,1997,1,1,0,0
4,1998,1,1,0,0
4,1999,1,1,0,0
4,2000,1,1,0,0
4,2001,1,1,0,0
4,2002,1,1,0,0
5,1977,0,1,1,1
5,1978,0,1,1,1
5,1979,0,1,1,1
5,1980,0,1,1,1
5,1981,0,1,1,1
5,1982,0,1,1,1
5,1983,0,1,1,1
5,1984,0,1,1,1
5,1985,0,1,1,1
5,1986,0,1,1,1
5,1987,0,1,1,1
5,1988,0,0,1,1
5,1989,0,0,1,1
5,1990,0,0,1,1
5,1991,0,0,1,1
5,1992,0,0,1,1
5,1993,0,0,1,1
5,1994,0,0,1,1
5,1995,0,0,1,1
5,1996,0,0,1,1
5,1997,0,0,1,1
5,1998,0,0,1,1
5,1999,0,0,1,1
5,2000,0,0,1,1
5,2001,0,0,1,1
5,2002,0,0,1,1
6,1977,1,1,1,1
6,1978,1,1,1,1
6,1979,1,1,1,1
6,1980,1,1,1,1
6,1981,1,1,1,1
6,1982,1,1,1,1
6,1983,1,1,1,1
6,1984,1,1,1,1
6,1985,1,1,1,1
6,1986,1,1,1,1
6,1987,1,1,1,1
6,1988,0,1,1,1
6,1989,0,1,1,1
6,1990,0,1,1,1
6,1991,0,1,1,1
6,1992,0,1,1,1
6,1993,0,1,1,1
6,1994,0,1,1,1
6,1995,0,1,1,1
6,1996,0,1,1,1
6,1997,0,1,1,1
6,1998,0,1,1,1
6,1999,0,1,1,1
6,2000,0,1,1,1
6,2001,0,1,1,1
6,2002,0,1,1,1
7,1977,0,0,1,1
7,1978,0,0,1,1
7,1979,0,0,1,1
7,1980,0,0,1,1
7,1981,0,0,1,1
7,1982,0,0,1,1
7,1983,0,0,1,1
7,1984,0,0,1,1
7,1985,0,0,1,1
7,1986,0,0,1,1
7,1987,0,0,1,1
7,1988,0,0,1,1
7,1989,0,0,1,1
7,1990,0,0,1,1
