Plot,1977_1985,1985_1987,1988_2002
1,Mixed-size seeds added in pulse,All annuals removed,Banner-tailed kangaroo rat removed
2,Small seeds added,Summer annuals removed,Unmanipulated control
3,"Kangaroo ratsremoved, 
Pogonomyrmex rugosus removed","Kangaroo rats removed,
Pogonomyrmex rugosus removed","Kangaroo rats removed,
All ants removed"
4,All ants removed,All ants removed,All ants removed
5,Banner-tailed kangaroo rats removed,Banner-tailed kangaroo rats removed,All rodents removed
6,Large seeds added,Winter annuals removed,Kangaroo rats removed
7,All rodents removed,All rodents removed,All rodents removed
8,Pogonomyrmex rugosus removed,Pogonomyrmex rugosus removed,All ants removed
9,Mixed-size seeds added,Bi-seasonal annuals removed,Banner-tailed kangaroo rats removed
10,"All rodents removed,
All ants removed","All rodents removed,
All ants removed","All rodents removed,
All ants removed"
11,Unmanipulated control,Unmanipulated control,Unmanipulated control
12,Pogonomyrmex rugosus removed,Pogonomyrmex rugosus removed,All ants removed
13,Large seeds added,Winter annuals removed,"Kangaroo rats removed,
All ants removed"
14,Unmanipulated control,Unmanipulated control,Unmanipulated control
15,Kangaroo rats removed,Kangaroo rats removed,Kangaroo rats removed
16,All rodents removed,All rodents removed,All rodents removed
17,All ants removed,All rodents removed,All rodents removed
18,Mixed-sized seeds added in pulse,All annuals removed,Kangaroo rats removed
19,"Kangaroo rats removed,
Pogonomyrmex rugosus removed","Kangaroo rats removed,
Pogonomyrmex rugosus removed","Kangaroo rats removed,
All ants removed"
20,Mixed-sized seeds added,Biseasonal annuals removed,"Kangaroo rats removed,
All ants removed"
21,Kangaroo rats removed,Kangaroo rats removed,Kangaroo rats removed
22,Small seeds added,Summer annuals removed,Unmanipulated control
23,"All rodents removed,
All ants removed","All rodents removed,
All ants removed","All rodents removed,
All ants removed"
24,Banner-tailed kangaroo rats removed,Banner-tailed kangaroo rats removed,All rodents removed
