YEAR,PLOT,PHXE,PHXEO,PHSI,PHSIO,PHDE,PHDEO,PODE,PODEO,POMA,POMAO,POIM,POIMO,PORU,PORUO,SOLA,SOLB,COIN,COINO,COBI,COBIO,IRPR,IRPRO,MYMI,MYMIO,MYDE,MYDEO,MYME,MYMEO,NOCO,NOCOO,CREM,CREMO,POBA,POBAO,MYNA,MYNAO
1977,1,26,35,7,7,-99,-99,40,40,-99,-99,-99,-99,-99,-99,-99,43,18,18,-99,-99,5,6,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1977,2,21,34,9,12,-99,-99,25,25,-99,-99,-99,-99,-99,-99,-99,42,3,3,-99,-99,1,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1977,3,27,48,10,10,-99,-99,38,41,-99,-99,-99,-99,-99,-99,-99,35,3,3,-99,-99,1,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1977,4,13,18,2,2,-99,-99,26,27,-99,-99,-99,-99,-99,-99,-99,39,9,9,-99,-99,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1977,5,10,14,1,1,-99,-99,28,28,-99,-99,-99,-99,-99,-99,-99,45,7,7,-99,-99,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1977,6,9,11,0,0,-99,-99,30,32,-99,-99,-99,-99,-99,-99,-99,40,16,16,-99,-99,5,5,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1977,7,11,17,3,3,-99,-99,18,18,-99,-99,-99,-99,-99,-99,-99,39,18,18,-99,-99,15,26,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1977,8,24,48,7,8,-99,-99,31,35,-99,-99,-99,-99,-99,-99,-99,22,9,9,-99,-99,8,9,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1977,9,19,24,4,4,-99,-99,28,29,-99,-99,-99,-99,-99,-99,-99,19,1,1,-99,-99,4,4,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1977,10,24,30,2,27,-99,-99,30,30,-99,-99,-99,-99,-99,-99,-99,16,6,6,-99,-99,5,7,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1977,11,46,71,8,12,-99,-99,8,8,-99,-99,-99,-99,-99,-99,-99,10,1,2,-99,-99,2,2,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1977,12,36,47,17,21,-99,-99,3,3,-99,-99,-99,-99,-99,-99,-99,10,12,12,-99,-99,2,2,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1977,13,12,17,8,8,-99,-99,27,27,-99,-99,-99,-99,-99,-99,-99,45,23,26,-99,-99,6,6,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1977,14,17,25,3,3,-99,-99,12,12,-99,-99,-99,-99,-99,-99,-99,42,19,20,-99,-99,7,8,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1977,15,12,17,4,4,-99,-99,11,12,-99,-99,-99,-99,-99,-99,-99,25,13,13,-99,-99,6,7,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1977,16,22,34,15,16,-99,-99,19,20,-99,-99,-99,-99,-99,-99,-99,23,15,16,-99,-99,3,3,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1977,17,24,31,1,1,-99,-99,3,3,-99,-99,-99,-99,-99,-99,-99,26,15,15,-99,-99,7,12,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1977,18,46,77,31,38,-99,-99,4,4,-99,-99,-99,-99,-99,-99,-99,3,16,16,-99,-99,12,15,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1977,19,27,37,27,30,-99,-99,3,3,-99,-99,-99,-99,-99,-99,-99,15,20,20,-99,-99,13,14,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1977,20,39,79,18,20,-99,-99,8,8,-99,-99,-99,-99,-99,-99,-99,11,17,17,-99,-99,8,8,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1977,21,32,43,22,25,-99,-99,4,5,-99,-99,-99,-99,-99,-99,-99,21,16,17,-99,-99,6,7,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1977,22,64,103,42,48,-99,-99,12,12,-99,-99,-99,-99,-99,-99,-99,15,6,6,-99,-99,4,4,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1977,23,32,49,28,29,-99,-99,0,0,-99,-99,-99,-99,-99,-99,-99,9,10,10,-99,-99,7,7,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1977,24,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1978,1,28,46,5,5,-99,-99,37,37,-99,-99,-99,-99,-99,-99,-99,-99,12,12,-99,-99,4,4,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1978,2,14,18,4,4,-99,-99,36,36,-99,-99,-99,-99,-99,-99,-99,-99,14,14,-99,-99,2,2,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1978,3,26,28,11,12,-99,-99,34,34,-99,-99,-99,-99,-99,-99,-99,-99,1,1,-99,-99,18,21,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1978,4,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1978,5,15,21,1,1,-99,-99,21,23,-99,-99,-99,-99,-99,-99,-99,-99,10,10,-99,-99,7,7,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1978,6,8,8,1,1,-99,-99,26,27,-99,-99,-99,-99,-99,-99,-99,-99,5,5,-99,-99,10,10,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
