Season,Life History,Year,Plot,Quadrat,Amar_palm,Ambr_arte,Aris_adsc,Atri_eleg,Bahi_bite,Bail_mult,Boer_inte,Boer_spic,Boer_cout,Boer_torr,Boer_sp,Bout_aris,Bout_barb,Bout_sp,Cass_lept,Chen_frem,Chlo_virg,Crot_pumi,Cusc_sp,Dale_brac,Dith_wisl,Erag_arid,Erag_cili,Erig_dive,Erio_lemm,Erio_aber,Erod_cicu,Erod_texa,Eupho_exst,Euph_fend,Euph_micr,Euph_serp,Euph_serr,Hapl_grac,Ipom_cost,Kall_gran,Mach_tanr,Moll_cerv,Moll_vert,Moll_sp,Pani_ariz,Pani_hirt,Pani_mili,Pani_sp,Pect_papp,Port_parv,Prob_parv,Sals_kali,Sanv_aber,Sida_spin,Tide_lanu,Trag_bert,Tria_port,Verb_ence,unkn_sp,grass_unkn,Port_sp,Sida_sp
Summer,Annual,1983,1,11,-99,-99,0,-99,-99,0,-99,0,-99,-99,-99,187,-99,-99,-99,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,1,-99,-99,-99,0,-99,-99,-99,-99,-99,-99,-99,0,0,-99,3,-99,-99,-99,3,-99,-99,-99,-99,-99,3,-99,-99,-99,-99,-99,-99,-99
Summer,Annual,1983,1,13,-99,-99,0,-99,-99,0,-99,0,-99,-99,-99,46,-99,-99,-99,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,1,-99,-99,-99,1,-99,-99,-99,-99,-99,-99,-99,0,0,-99,0,-99,-99,-99,1,-99,-99,-99,-99,-99,4,-99,-99,-99,-99,-99,-99,-99
Summer,Annual,1983,1,15,-99,-99,0,-99,-99,0,-99,0,-99,-99,-99,3,-99,-99,-99,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,-99,-99,-99,1,-99,-99,-99,-99,-99,-99,-99,0,0,-99,0,-99,-99,-99,0,-99,-99,-99,-99,-99,0,-99,-99,-99,-99,-99,-99,-99
Summer,Annual,1983,1,17,-99,-99,0,-99,-99,0,-99,1,-99,-99,-99,163,-99,-99,-99,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,5,-99,-99,-99,1,-99,-99,-99,-99,-99,-99,-99,0,0,-99,0,-99,-99,-99,6,-99,-99,-99,-99,-99,6,-99,-99,-99,-99,-99,-99,-99
Summer,Annual,1983,1,31,-99,-99,0,-99,-99,0,-99,0,-99,-99,-99,86,-99,-99,-99,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,24,-99,-99,-99,0,-99,-99,-99,-99,-99,-99,-99,0,0,-99,0,-99,-99,-99,1,-99,-99,-99,-99,-99,1,-99,-99,-99,-99,-99,-99,-99
Summer,Annual,1983,1,33,-99,-99,0,-99,-99,0,-99,0,-99,-99,-99,80,-99,-99,-99,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,38,-99,-99,-99,0,-99,-99,-99,-99,-99,-99,-99,0,0,-99,1,-99,-99,-99,2,-99,-99,-99,-99,-99,16,-99,-99,-99,-99,-99,-99,-99
Summer,Annual,1983,1,35,-99,-99,0,-99,-99,0,-99,0,-99,-99,-99,7,-99,-99,-99,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,30,-99,-99,-99,0,-99,-99,-99,-99,-99,-99,-99,0,0,-99,0,-99,-99,-99,0,-99,-99,-99,-99,-99,0,-99,-99,-99,-99,-99,-99,-99
Summer,Annual,1983,1,37,-99,-99,0,-99,-99,0,-99,0,-99,-99,-99,18,-99,-99,-99,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,80,-99,-99,-99,0,-99,-99,-99,-99,-99,-99,-99,0,0,-99,0,-99,-99,-99,0,-99,-99,-99,-99,-99,21,-99,-99,-99,-99,-99,-99,-99
Summer,Annual,1983,1,51,-99,-99,0,-99,-99,0,-99,0,-99,-99,-99,33,-99,-99,-99,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,36,-99,-99,-99,0,-99,-99,-99,-99,-99,-99,-99,0,0,-99,2,-99,-99,-99,0,-99,-99,-99,-99,-99,0,-99,-99,-99,-99,-99,-99,-99
Summer,Annual,1983,1,53,-99,-99,0,-99,-99,0,-99,0,-99,-99,-99,8,-99,-99,-99,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,66,-99,-99,-99,0,-99,-99,-99,-99,-99,-99,-99,0,0,-99,0,-99,-99,-99,2,-99,-99,-99,-99,-99,0,-99,-99,-99,-99,-99,-99,-99
Summer,Annual,1983,1,55,-99,-99,0,-99,-99,0,-99,0,-99,-99,-99,0,-99,-99,-99,4,-99,-99,-99,-99,-99,-99,-99,-99,-99,13,-99,-99,-99,0,-99,-99,-99,-99,-99,-99,-99,0,0,-99,0,-99,-99,-99,0,-99,-99,-99,-99,-99,0,-99,-99,-99,-99,-99,-99,-99
Summer,Annual,1983,1,57,-99,-99,0,-99,-99,0,-99,0,-99,-99,-99,0,-99,-99,-99,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,30,-99,-99,-99,0,-99,-99,-99,-99,-99,-99,-99,0,0,-99,0,-99,-99,-99,0,-99,-99,-99,-99,-99,0,-99,-99,-99,-99,-99,-99,-99
Summer,Annual,1983,1,71,-99,-99,0,-99,-99,0,-99,0,-99,-99,-99,19,-99,-99,-99,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,8,-99,-99,-99,0,-99,-99,-99,-99,-99,-99,-99,0,0,-99,0,-99,-99,-99,0,-99,-99,-99,-99,-99,0,-99,-99,-99,-99,-99,-99,-99
Summer,Annual,1983,1,73,-99,-99,0,-99,-99,0,-99,1,-99,-99,-99,16,-99,-99,-99,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,34,-99,-99,-99,0,-99,-99,-99,-99,-99,-99,-99,0,0,-99,0,-99,-99,-99,0,-99,-99,-99,-99,-99,0,-99,-99,-99,-99,-99,-99,-99
Summer,Annual,1983,1,75,-99,-99,0,-99,-99,0,-99,4,-99,-99,-99,18,-99,-99,-99,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,2,-99,-99,-99,0,-99,-99,-99,-99,-99,-99,-99,0,0,-99,0,-99,-99,-99,0,-99,-99,-99,-99,-99,0,-99,-99,-99,-99,-99,-99,-99
Summer,Annual,1983,1,77,-99,-99,0,-99,-99,0,-99,0,-99,-99,-99,37,-99,-99,-99,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,5,-99,-99,-99,0,-99,-99,-99,-99,-99,-99,-99,7,0,-99,1,-99,-99,-99,0,-99,-99,-99,-99,-99,0,-99,-99,-99,-99,-99,-99,-99
Summer,Annual,1983,2,11,-99,-99,0,-99,-99,0,-99,0,-99,-99,-99,23,-99,-99,-99,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,3,-99,-99,-99,0,-99,-99,-99,-99,-99,-99,-99,0,0,-99,0,-99,-99,-99,3,-99,-99,-99,-99,-99,1,-99,-99,-99,-99,-99,-99,-99
Summer,Annual,1983,2,13,-99,-99,0,-99,-99,0,-99,2,-99,-99,-99,2,-99,-99,-99,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,2,-99,-99,-99,0,-99,-99,-99,-99,-99,-99,-99,0,0,-99,0,-99,-99,-99,0,-99,-99,-99,-99,-99,1,-99,-99,-99,-99,-99,-99,-99
Summer,Annual,1983,2,15,-99,-99,0,-99,-99,0,-99,1,-99,-99,-99,0,-99,-99,-99,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,28,-99,-99,-99,0,-99,-99,-99,-99,-99,-99,-99,0,0,-99,0,-99,-99,-99,0,-99,-99,-99,-99,-99,0,-99,-99,-99,-99,-99,-99,-99
Summer,Annual,1983,2,17,-99,-99,0,-99,-99,0,-99,0,-99,-99,-99,0,-99,-99,-99,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,8,-99,-99,-99,0,-99,-99,-99,-99,-99,-99,-99,0,0,-99,0,-99,-99,-99,0,-99,-99,-99,-99,-99,0,-99,-99,-99,-99,-99,-99,-99
Summer,Annual,1983,2,31,-99,-99,0,-99,-99,0,-99,1,-99,-99,-99,28,-99,-99,-99,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,25,-99,-99,-99,0,-99,-99,-99,-99,-99,-99,-99,0,0,-99,0,-99,-99,-99,0,-99,-99,-99,-99,-99,5,-99,-99,-99,-99,-99,-99,-99
Summer,Annual,1983,2,33,-99,-99,0,-99,-99,0,-99,0,-99,-99,-99,2,-99,-99,-99,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,-99,-99,-99,0,-99,-99,-99,-99,-99,-99,-99,0,0,-99,0,-99,-99,-99,0,-99,-99,-99,-99,-99,0,-99,-99,-99,-99,-99,-99,-99
Summer,Annual,1983,2,35,-99,-99,0,-99,-99,0,-99,1,-99,-99,-99,1,-99,-99,-99,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,6,-99,-99,-99,0,-99,-99,-99,-99,-99,-99,-99,0,0,-99,0,-99,-99,-99,0,-99,-99,-99,-99,-99,0,-99,-99,-99,-99,-99,-99,-99
Summer,Annual,1983,2,37,-99,-99,0,-99,-99,0,-99,2,-99,-99,-99,8,-99,-99,-99,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,-99,-99,-99,0,-99,-99,-99,-99,-99,-99,-99,0,0,-99,9,-99,-99,-99,0,-99,-99,-99,-99,-99,6,-99,-99,-99,-99,-99,-99,-99
Summer,Annual,1983,2,51,-99,-99,0,-99,-99,0,-99,0,-99,-99,-99,2,-99,-99,-99,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,10,-99,-99,-99,0,-99,-99,-99,-99,-99,-99,-99,0,0,-99,0,-99,-99,-99,0,-99,-99,-99,-99,-99,0,-99,-99,-99,-99,-99,-99,-99
Summer,Annual,1983,2,53,-99,-99,0,-99,-99,0,-99,0,-99,-99,-99,1,-99,-99,-99,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,11,-99,-99,-99,0,-99,-99,-99,-99,-99,-99,-99,0,0,-99,0,-99,-99,-99,0,-99,-99,-99,-99,-99,0,-99,-99,-99,-99,-99,-99,-99
Summer,Annual,1983,2,55,-99,-99,0,-99,-99,0,-99,0,-99,-99,-99,34,-99,-99,-99,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,14,-99,-99,-99,0,-99,-99,-99,-99,-99,-99,-99,0,0,-99,2,-99,-99,-99,0,-99,-99,-99,-99,-99,2,-99,-99,-99,-99,-99,-99,-99
Summer,Annual,1983,2,57,-99,-99,0,-99,-99,0,-99,2,-99,-99,-99,187,-99,-99,-99,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,3,-99,-99,-99,3,-99,-99,-99,-99,-99,-99,-99,7,0,-99,3,-99,-99,-99,0,-99,-99,-99,-99,-99,6,-99,-99,-99,-99,-99,-99,-99
Summer,Annual,1983,2,71,-99,-99,0,-99,-99,0,-99,1,-99,-99,-99,16,-99,-99,-99,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,17,-99,-99,-99,0,-99,-99,-99,-99,-99,-99,-99,0,1,-99,0,-99,-99,-99,0,-99,-99,-99,-99,-99,16,-99,-99,-99,-99,-99,-99,-99
Summer,Annual,1983,2,73,-99,-99,0,-99,-99,0,-99,1,-99,-99,-99,0,-99,-99,-99,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,6,-99,-99,-99,0,-99,-99,-99,-99,-99,-99,-99,0,0,-99,0,-99,-99,-99,0,-99,-99,-99,-99,-99,0,-99,-99,-99,-99,-99,-99,-99
Summer,Annual,1983,2,75,-99,-99,0,-99,-99,0,-99,8,-99,-99,-99,31,-99,-99,-99,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,7,-99,-99,-99,0,-99,-99,-99,-99,-99,-99,-99,0,0,-99,0,-99,-99,-99,0,-99,-99,-99,-99,-99,0,-99,-99,-99,-99,-99,-99,-99
Summer,Annual,1983,2,77,-99,-99,0,-99,-99,0,-99,3,-99,-99,-99,39,-99,-99,-99,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,2,-99,-99,-99,1,-99,-99,-99,-99,-99,-99,-99,1,0,-99,4,-99,-99,-99,0,-99,-99,-99,-99,-99,0,-99,-99,-99,-99,-99,-99,-99
Summer,Annual,1983,3,11,-99,-99,0,-99,-99,0,-99,0,-99,-99,-99,0,-99,-99,-99,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,-99,-99,-99,0,-99,-99,-99,-99,-99,-99,-99,0,0,-99,0,-99,-99,-99,0,-99,-99,-99,-99,-99,0,-99,-99,-99,-99,-99,-99,-99
