Season,Life History,Year,Plot,Quadrat,Ambr_arte,Amsi_tess,Andr_occi,Astr_allo,Astr_nutt,Bail_mult,Brom_rube,Caly_wrig,Chae_stev,Chem_frem,Chor_tene,Cryp_cras,Cryp_micr,Cryp_sp3,Cryp_sp4,Dale_brac,Desc_pinn,Delp_sp1,D_sp2,Dith_wisl,Eria_diff,Erig_dive,Erio_aber,Erio_lemm,Erod_cicu,Erod_texa,Esch_mexi,Gili_sinu,Hapl_grac,Lapp_redo,Lepi_lasi,Lesq_gord,Lina_bige,Lina_texa,Lupi_cocc,Lupi_sp,Lupi_sp2,Mala_fend,Micr_lene,Nama_hisp,Oeno_prim,Oeno_sp,Pani_hirt,Pect_sp,Phac_ariz,Plag_arix,Plan_purs,Schi_barb,Sper_echi,Step_exig,Verb_ence,Vulp_octo,unk1,unk2,unk3,unk4,unk5,Desc_sp2,ukn_grass,Astr_spp
Winter,Annual,1983,1,11,-99,-99,-99,0,0,0,-99,-99,0,-99,-99,0,43,-99,-99,-99,38,-99,-99,-99,53,3,144,-99,0,0,0,32,0,-99,0,0,-99,-99,-99,0,-99,10,0,-99,-99,0,-99,-99,1,-99,0,-99,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
Winter,Annual,1983,1,13,-99,-99,-99,0,0,0,-99,-99,0,-99,-99,0,2,-99,-99,-99,18,-99,-99,-99,62,0,84,-99,0,0,0,11,0,-99,0,0,-99,-99,-99,0,-99,3,0,-99,-99,0,-99,-99,0,-99,0,-99,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
Winter,Annual,1983,1,15,-99,-99,-99,0,0,0,-99,-99,0,-99,-99,0,2,-99,-99,-99,2,-99,-99,-99,2,0,21,-99,0,0,0,11,0,-99,1,0,-99,-99,-99,0,-99,2,0,-99,-99,0,-99,-99,1,-99,0,-99,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
Winter,Annual,1983,1,17,-99,-99,-99,0,0,0,-99,-99,0,-99,-99,0,31,-99,-99,-99,12,-99,-99,-99,37,1,31,-99,1,0,0,25,0,-99,0,0,-99,-99,-99,0,-99,8,0,-99,-99,0,-99,-99,0,-99,0,-99,3,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
Winter,Annual,1983,1,31,-99,-99,-99,0,0,0,-99,-99,0,-99,-99,1,2,-99,-99,-99,9,-99,-99,-99,21,0,91,-99,0,0,0,1,0,-99,0,0,-99,-99,-99,0,-99,7,0,-99,-99,0,-99,-99,1,-99,0,-99,1,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
Winter,Annual,1983,1,33,-99,-99,-99,0,0,0,-99,-99,0,-99,-99,0,1,-99,-99,-99,16,-99,-99,-99,7,3,121,-99,0,0,0,1,0,-99,0,0,-99,-99,-99,0,-99,2,0,-99,-99,0,-99,-99,0,-99,0,-99,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
Winter,Annual,1983,1,35,-99,-99,-99,0,1,0,-99,-99,0,-99,-99,4,0,-99,-99,-99,10,-99,-99,-99,9,0,86,-99,1,0,0,0,0,-99,0,0,-99,-99,-99,0,-99,3,0,-99,-99,0,-99,-99,1,-99,0,-99,12,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
Winter,Annual,1983,1,37,-99,-99,-99,0,0,0,-99,-99,0,-99,-99,0,0,-99,-99,-99,12,-99,-99,-99,2,0,291,-99,0,0,0,0,0,-99,0,0,-99,-99,-99,0,-99,0,0,-99,-99,0,-99,-99,0,-99,0,-99,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
Winter,Annual,1983,1,51,-99,-99,-99,0,0,0,-99,-99,0,-99,-99,0,119,-99,-99,-99,12,-99,-99,-99,43,0,139,-99,0,0,0,12,0,-99,0,0,-99,-99,-99,0,-99,9,1,-99,-99,0,-99,-99,0,-99,0,-99,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
Winter,Annual,1983,1,53,-99,-99,-99,0,0,0,-99,-99,0,-99,-99,2,2,-99,-99,-99,8,-99,-99,-99,6,0,241,-99,0,0,0,0,0,-99,0,0,-99,-99,-99,0,-99,8,0,-99,-99,0,-99,-99,0,-99,0,-99,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
